name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,category,instructions,name_in_persian,instructions_in_persian
Incline Push-Up Wide,push,beginner,compound,body only,chest,"abdominals, shoulders, triceps",strength,"Stand facing a Smith machine bar or sturdy elevated platform at an appropriate height., Place your hands on the bar, with your hands wider than shoulder width., Position your feet back from the bar with arms and body straight. Your arms should be perpendicular to the body. This will be your starting position., Keeping your body straight, lower your chest to the bar by bending the arms., Return to the starting position by extending the elbows, pressing yourself back up.",شنا سوئدی بالاسینه با زاویه باز,"رو به روی میله دستگاه اسمیت یا سکوی بلند محکم در ارتفاع مناسب بایستید. دست‌هایتان را روی میله قرار دهید، به طوری که دست‌هایتان بیشتر از عرض شانه باز باشد. پاهایتان را از میله عقب ببرید و دست‌ها و بدن را صاف نگه دارید. دست‌هایتان باید عمود بر بدن باشند. این حالت شروع شما خواهد بود. بدن خود را صاف نگه دارید، با خم کردن دست‌ها، سینه خود را به سمت میله پایین بیاورید. با باز کردن آرنج‌ها و فشار دادن دوباره خود به بالا، به حالت شروع برگردید."
Intermediate Groin Stretch,static,intermediate,isolation,other,hamstrings,,stretching,"Lie on your back with your legs extended. Loop a belt, rope, or band around one of your feet, and swing that leg as far to the side as you can. This will be your starting position., Pull gently on the belt to create tension in your groin and hamstring muscles. Hold for 10-20 seconds, and repeat on the other side.",کشش متوسط کشاله ران,"به پشت دراز بکشید و پاهایتان را دراز کنید. یک کمربند، طناب یا کش را دور یکی از پاهایتان حلقه کنید و آن پا را تا جایی که می‌توانید به پهلو بچرخانید. این حالت شروع شما خواهد بود. به آرامی کمربند را بکشید تا در عضلات کشاله ران و همسترینگ خود کشش ایجاد کنید. 10 تا 20 ثانیه نگه دارید و در طرف دیگر تکرار کنید."
Intermediate Hip Flexor and Quad Stretch,static,intermediate,compound,other,quadriceps,,stretching,"Lie face down on the floor, with a rope, belt, or band looped around one foot., Flex the knee and extend the hip of the leg to be stretched, using both hands to pull on the belt. Your knee and your hip should come off of the floor, creating tension in the hip flexors and quadriceps. Hold the stretch for 10-20 seconds, and repeat on the other leg.",کشش متوسط عضلات خم کننده ران و چهار سر ران,"روی زمین دراز بکشید، یک طناب، کمربند یا نوار کشی را دور یک پا حلقه کنید. زانو را خم کنید و لگن پایی را که قرار است کشیده شود، بکشید و با استفاده از هر دو دست، کمربند را بکشید. زانو و لگن شما باید از زمین جدا شوند و در عضلات خم کننده لگن و چهارسر ران کشش ایجاد شود. کشش را به مدت 10 تا 20 ثانیه نگه دارید و روی پای دیگر تکرار کنید."
Internal Rotation with Band,,beginner,isolation,bands,shoulders,,strength,"Choke the band around a post. The band should be at the same height as your elbow. Stand with your right side to the band a couple of feet away., Grasp the end of the band with your right hand, and keep your elbow pressed firmly to your side. We recommend you hold a pad or foam roll in place with your elbow to keep it firmly in position., With your upper arm in position, your elbow should be flexed to 90 degrees with your hand reaching away from your torso. This will be your starting position., Execute the movement by rotating your arm in a forehand motion, keeping your elbow in place., Continue as far as you are able, pause, and then return to the starting position.",چرخش داخلی با باند,"کش را دور یک میله محکم کنید. کش باید هم ارتفاع آرنج شما باشد. با دست راست خود در فاصله چند فوتی از کش بایستید. انتهای کش را با دست راست خود بگیرید و آرنج خود را محکم به پهلو فشار دهید. توصیه می‌کنیم یک پد یا رول فومی را در کنار آرنج خود نگه دارید تا آن را محکم در موقعیت خود نگه دارید. در حالی که بازوی شما در موقعیت خود قرار دارد، آرنج شما باید تا ۹۰ درجه خم شود و دست شما از تنه شما دور شود. این موقعیت شروع شما خواهد بود. حرکت را با چرخاندن بازوی خود به صورت فورهند و نگه داشتن آرنج خود در جای خود انجام دهید. تا جایی که می‌توانید ادامه دهید، مکث کنید و سپس به موقعیت شروع برگردید."
Inverted Row,pull,beginner,compound,,middle back,lats,strength,"Position a bar in a rack to about waist height. You can also use a smith machine., Take a wider than shoulder width grip on the bar and position yourself hanging underneath the bar. Your body should be straight with your heels on the ground with your arms fully extended. This will be your starting position., Begin by flexing the elbow, pulling your chest towards the bar. Retract your shoulder blades as you perform the movement., Pause at the top of the motion, and return yourself to the start position., Repeat for the desired number of repetitions.",ردیف معکوس,"یک میله را روی یک پایه تا ارتفاع کمر قرار دهید. همچنین می‌توانید از دستگاه اسمیت استفاده کنید. میله را با فاصله‌ای بیشتر از عرض شانه بگیرید و زیر میله آویزان شوید. بدن شما باید صاف باشد، پاشنه‌های پا روی زمین و بازوهایتان کاملاً کشیده باشند. این حالت شروع شما خواهد بود. با خم کردن آرنج شروع کنید و سینه خود را به سمت میله بکشید. در حین انجام حرکت، تیغه‌های شانه خود را به سمت داخل بکشید. در بالای حرکت مکث کنید و به حالت شروع برگردید. این حرکت را به تعداد دلخواه تکرار کنید."
Inverted Row with Straps,pull,beginner,compound,other,middle back,"biceps, lats",strength,"Hang a rope or suspension straps from a rack or other stable object. Grasp the ends and position yourself in a supine position hanging from the ropes. Your body should be straight with your heels on the ground with your arms fully extended. This will be your starting position., Begin by flexing the elbow, pulling your chest to your hands. Retract your shoulder blades as you perform the movement., Pause at the top of the motion, and return yourself to the start position., Repeat for the desired number of repetitions.",پارویی معکوس با تسمه,"یک طناب یا بندهای آویز را از یک پایه یا جسم ثابت دیگر آویزان کنید. انتهای آنها را بگیرید و در حالت طاقباز از طناب‌ها آویزان شوید. بدن شما باید صاف باشد، پاشنه‌هایتان روی زمین و بازوهایتان کاملاً کشیده باشد. این حالت شروع شما خواهد بود. با خم کردن آرنج شروع کنید و سینه خود را به سمت دستانتان بکشید. در حین انجام حرکت، تیغه‌های شانه خود را به سمت داخل بکشید. در بالای حرکت مکث کنید و به حالت شروع برگردید. این حرکت را به تعداد دلخواه تکرار کنید."
Iron Cross,push,intermediate,compound,dumbbell,shoulders,"chest, glutes, hamstrings, lower back, quadriceps, traps",strength,,صلیب آهنین,
Iron Crosses (stretch),pull,intermediate,compound,,quadriceps,,stretching,"Lie face down on the floor, with your arms extended out to your side, palms pressed to the floor. This will be your starting position., To begin, flex one knee and bring that leg across the back of your body, attempting to touch it to the ground near the opposite hand., Promptly return the leg to the starting postion, and quickly repeat with the other leg. Continue alternating for 10-20 repetitions.",صلیب‌های آهنی (کششی),"روی زمین دراز بکشید، دست‌هایتان را به طرفین باز کنید و کف دست‌ها را به زمین فشار دهید. این حالت شروع شما خواهد بود. برای شروع، یک زانو را خم کنید و آن پا را از پشت بدن خود عبور دهید و سعی کنید آن را نزدیک دست مخالف به زمین لمس کنید. فوراً پا را به حالت شروع برگردانید و به سرعت با پای دیگر تکرار کنید. به طور متناوب 10 تا 20 تکرار ادامه دهید."
Isometric Chest Squeezes,static,beginner,compound,body only,chest,"shoulders, triceps",plyometrics,"While either seating or standing, bend your arms at a 90-degree angle and place the palms of your hands together in front of your chest. Tip: Your hands should be open with the palms together and fingers facing forward (perpendicular to your torso)., Push both hands against each other as you contract your chest. Start with slow tension and increase slowly. Keep breathing normally as you execute this contraction., Hold for the recommended number of seconds., Now release the tension slowly., Rest for the recommended amount of time and repeat.",فشار ایزومتریک قفسه سینه,"در حالت نشسته یا ایستاده، بازوهای خود را با زاویه ۹۰ درجه خم کنید و کف دست‌هایتان را جلوی سینه‌تان روی هم قرار دهید. نکته: دست‌هایتان باید باز باشند، کف دست‌ها روی هم و انگشتان رو به جلو (عمود بر تنه) باشند. در حالی که سینه خود را منقبض می‌کنید، هر دو دست را به یکدیگر فشار دهید. با کشش آرام شروع کنید و به آرامی افزایش دهید. در حین انجام این انقباض، به طور عادی نفس بکشید. به مدت زمان توصیه شده نگه دارید. اکنون به آرامی کشش را رها کنید. به مدت زمان توصیه شده استراحت کنید و تکرار کنید."
Isometric Neck Exercise - Front And Back,static,beginner,isolation,body only,neck,,strength,"With your head and neck in a neutral position (normal position with head erect facing forward), place both of your hands on the front side of your head., Now gently push forward as you contract the neck muscles but resisting any movement of your head. Start with slow tension and increase slowly. Keep breathing normally as you execute this contraction., Hold for the recommended number of seconds., Now release the tension slowly., Rest for the recommended amount of time and repeat with your hands placed on the back side of your head.",تمرین ایزومتریک گردن - جلو و عقب,"در حالی که سر و گردنتان در حالت خنثی (وضعیت عادی با سر صاف رو به جلو) قرار دارد، هر دو دست خود را روی قسمت جلوی سرتان قرار دهید. حالا به آرامی به جلو فشار دهید و عضلات گردن را منقبض کنید، اما در مقابل هرگونه حرکت سرتان مقاومت کنید. با کشش آرام شروع کنید و به آرامی آن را افزایش دهید. در حین انجام این انقباض، به طور عادی نفس بکشید. به مدت زمان توصیه شده نگه دارید. حالا کشش را به آرامی رها کنید. به مدت زمان توصیه شده استراحت کنید و با قرار دادن دست‌هایتان در قسمت پشت سرتان، این حرکت را تکرار کنید."
Isometric Neck Exercise - Sides,static,beginner,isolation,body only,neck,,strength,"With your head and neck in a neutral position (normal position with head erect facing forward), place your left hand on the left side of your head., Now gently push towards the left as you contract the left neck muscles but resisting any movement of your head. Start with slow tension and increase slowly. Keep breathing normally as you execute this contraction., Hold for the recommended number of seconds., Now release the tension slowly., Rest for the recommended amount of time and repeat with your right hand placed on the right side of your head.",تمرین ایزومتریک گردن - طرفین,"در حالی که سر و گردنتان در وضعیت خنثی (وضعیت عادی با سر صاف رو به جلو) قرار دارد، دست چپ خود را روی سمت چپ سرتان قرار دهید. حالا به آرامی به سمت چپ فشار دهید و عضلات گردن چپ را منقبض کنید، اما در مقابل هرگونه حرکت سرتان مقاومت کنید. با کشش آرام شروع کنید و به آرامی آن را افزایش دهید. در حین انجام این انقباض، به طور عادی نفس بکشید. به مدت زمان توصیه شده نگه دارید. حالا کشش را به آرامی رها کنید. به مدت زمان توصیه شده استراحت کنید و با قرار دادن دست راست خود روی سمت راست سرتان، این حرکت را تکرار کنید."
Isometric Wipers,push,beginner,compound,body only,chest,"abdominals, shoulders, triceps",strength,"Assume a push-up position, supporting your weight on your hands and toes while keeping your body straight. Your hands should be just outside of shoulder width. This will be your starting position., Begin by shifting your body weight as far to one side as possible, allowing the elbow on that side to flex as you lower your body., Reverse the motion by extending the flexed arm, pushing yourself up and then dropping to the other side., Repeat for the desired number of repetitions.",برف‌پاک‌کن‌های ایزومتریک,"در حالت شنا قرار بگیرید، وزن خود را روی دست‌ها و انگشتان پا قرار دهید و بدن خود را صاف نگه دارید. دست‌های شما باید کمی بیشتر از عرض شانه‌ها باز باشند. این حالت شروع شما خواهد بود. با انتقال وزن بدن تا حد امکان به یک طرف شروع کنید و اجازه دهید آرنج آن طرف هنگام پایین آوردن بدن خم شود. حرکت را با کشیدن بازوی خم شده معکوس کنید، خود را به سمت بالا هل دهید و سپس به سمت دیگر پایین بیایید. این حرکت را به تعداد دلخواه تکرار کنید."
IT Band and Glute Stretch,static,intermediate,,other,abductors,,stretching,"Loop a belt, rope, or band around one of your feet, and swing that leg across your body to the opposite side, keeping the leg extended as you lay on the ground. This will be your starting position., Keeping your foot off of the floor, pull on the belt, using the tension to pull the toes up. Hold for 10-20 seconds, and repeat on the other side.",کشش با باند IT و عضلات سرینی,"یک کمربند، طناب یا کش را دور یکی از پاهایتان حلقه کنید و آن پا را به سمت مخالف بچرخانید، در حالی که پا را روی زمین دراز کرده‌اید، آن را کشیده نگه دارید. این حالت شروع شما خواهد بود. پای خود را از زمین جدا نگه دارید، کمربند را بکشید و با استفاده از کشش، انگشتان پا را به سمت بالا بکشید. 10 تا 20 ثانیه در این حالت بمانید و این حرکت را در سمت دیگر تکرار کنید."
Jackknife Sit-Up,pull,beginner,compound,body only,abdominals,,strength,"Lie flat on the floor (or exercise mat) on your back with your arms extended straight back behind your head and your legs extended also. This will be your starting position., As you exhale, bend at the waist while simultaneously raising your legs and arms to meet in a jackknife position. Tip: The legs should be extended and lifted at approximately a 35-45 degree angle from the floor and the arms should be extended and parallel to your legs. The upper torso should be off the floor., While inhaling, lower your arms and legs back to the starting position., Repeat for the recommended amount of repetitions.",دراز و نشست جک نایف,"روی زمین (یا تشک ورزشی) به پشت دراز بکشید، دست‌ها را صاف پشت سرتان بکشید و پاها را نیز بکشید. این حالت شروع شما خواهد بود. همزمان با بازدم، از کمر خم شوید و همزمان پاها و دست‌های خود را بالا بیاورید تا در حالت چاقوی ضامن‌دار قرار بگیرید. نکته: پاها باید کشیده و با زاویه تقریباً ۳۵ تا ۴۵ درجه از زمین بلند شوند و دست‌ها باید کشیده و موازی با پاها باشند. نیم‌تنه بالایی باید از زمین جدا باشد. هنگام دم، دست‌ها و پاها را به حالت شروع برگردانید. این حرکت را به تعداد توصیه شده تکرار کنید."
Janda Sit-Up,pull,beginner,isolation,body only,abdominals,,strength,"Position your body on the floor in the basic sit-up position; knees to a ninety degree angle with feet flat on the floor and arms either crossed over your chest or to the sides. This will be your starting position., As you strongly tighten your glutes and hamstrings, fill your lungs with air and in a slow (three to six second count) ascent, slowly exhale. Tip: It is important to tighten the glutes and hamstrings as this will cause the hip flexors to be inactivated in a process called reciprocal inhibition, which basically means that opposite muscles to the contracted ones will relax., As you inhale, slowly go back in a controlled manner to the starting position., Repeat for the recommended amount of repetitions.",دراز نشست جاندا,"بدن خود را در حالت دراز نشست اولیه روی زمین قرار دهید؛ زانوها با زاویه نود درجه، پاها صاف روی زمین و دست‌ها یا به صورت ضربدری روی سینه یا در طرفین قرار گیرند. این حالت شروع شما خواهد بود. همزمان با سفت کردن عضلات سرینی و همسترینگ، ریه‌های خود را با هوا پر کنید و با یک حرکت آهسته (سه تا شش ثانیه) به سمت بالا، به آرامی بازدم کنید. نکته: سفت کردن عضلات سرینی و همسترینگ بسیار مهم است زیرا این کار باعث می‌شود عضلات خم کننده ران در فرآیندی به نام مهار متقابل غیرفعال شوند، که اساساً به این معنی است که عضلات مخالف عضلات منقبض شده شل می‌شوند. همزمان با دم، به آرامی و با کنترل به حالت شروع برگردید. این حرکت را به تعداد توصیه شده تکرار کنید."
Jefferson Squats,push,intermediate,compound,barbell,quadriceps,"calves, glutes, hamstrings, lower back, traps",strength,"Place a barbell on the floor., Stand in the middle of the bar length wise., Bend down by bending at the knees and keeping your back straight and grasp the front of the bar with your right hand. Your palm should be in (neutral grip) facing the left side., Grasp the rear of the bar with your left hand. The palm of your hand should be in neutral grip alignment (palms facing the right side). Tip: Ensure that your grip is even on the bar. Your torso should be positioned right in the middle of the bar and the distance between your torso and your right hand (which should be at the front) should be the same as the distance between your torso and your left hand (which should be to your back)., Now stand straight up with the weight. Tip: Your feet should be shoulder width apart and your toes slightly pointed out., Squat down by bending at the knees and keeping your back straight until your upper thighs are parallel with the floor. Tip: Keep your back as vertical as possible with the floor and your head up. Also remember to not let your knees go past your toes. Inhale during this portion of the movement., Now drive yourself back up to the starting position by pushing with the feet . Tip: Keep the bar hanging at arm's length and your elbows locked with a slight bend. The arms only serve as hooks. Avoid doing any lifting with them. Do the lifting with your thighs; not your arms.",اسکات جفرسون,"یک هالتر را روی زمین قرار دهید.، در وسط طول میله بایستید.، با خم کردن زانوها و صاف نگه داشتن کمر، خم شوید و جلوی میله را با دست راست خود بگیرید. کف دست شما باید در حالت (گرفتن خنثی) رو به سمت چپ باشد.، پشت میله را با دست چپ خود بگیرید. کف دست شما باید در حالت گرفتن خنثی باشد (کف دست‌ها رو به سمت راست). نکته: مطمئن شوید که میله را به طور مساوی گرفته‌اید. تنه شما باید درست در وسط میله قرار گیرد و فاصله بین تنه و دست راست شما (که باید در جلو باشد) باید به اندازه فاصله بین تنه و دست چپ شما (که باید در پشت شما باشد) باشد.، حالا با وزنه صاف بایستید. نکته: پاهای شما باید به اندازه عرض شانه باز و انگشتان پا کمی به بیرون باشند.، با خم کردن زانوها و صاف نگه داشتن کمر تا زمانی که ران‌های بالایی شما موازی با زمین باشند، به حالت اسکات پایین بروید. نکته: کمر خود را تا حد امکان عمودی نگه دارید، کف دست خود را بالا نگه دارید. همچنین به یاد داشته باشید که اجازه ندهید زانوهای شما از انگشتان پا جلوتر بروند. در این بخش از حرکت نفس عمیق بکشید. حالا با فشار دادن پاها، خودتان را به حالت اولیه برگردانید. نکته: میله را در امتداد بازو آویزان نگه دارید و آرنج‌هایتان را با کمی خمیدگی قفل کنید. دست‌ها فقط به عنوان قلاب عمل می‌کنند. از بلند کردن وزنه با آنها خودداری کنید. وزنه را با ران‌هایتان بلند کنید؛ نه با بازوهایتان."
Jerk Balance,push,intermediate,compound,barbell,shoulders,"glutes, hamstrings, quadriceps, triceps",olympic weightlifting,"This drill helps you learn to drive yourself low enough during the jerk and corrects those who move backward during the movement. Begin with the bar racked in the jerk position, with the shoulders forward, torso upright, and the feet split slightly apart., Initiate the movement as you would a normal jerk, dipping at the knees while keeping your torso vertical, and driving back up forcefully, using momentum and not your arms to elevate the weight., Keep the rear foot in place, using it to drive your body forward into a full split as you jerk the weight. Recover by standing up with the weight overhead.",تعادل تند و سریع,"این تمرین به شما کمک می‌کند تا یاد بگیرید که در طول حرکت تند، خودتان را به اندازه کافی پایین بیاورید و کسانی را که در طول حرکت به عقب حرکت می‌کنند، اصلاح کنید. با قرار دادن هالتر در حالت تند، شانه‌ها رو به جلو، بالاتنه صاف و پاها کمی از هم باز، شروع کنید. حرکت را مانند یک تند معمولی شروع کنید، در حالی که بالاتنه خود را عمودی نگه می‌دارید، زانوها را پایین بیاورید و با قدرت به عقب برگردید، از تکانه و نه بازوهای خود برای بالا بردن وزنه استفاده کنید. پای عقب را در جای خود نگه دارید و هنگام تند کردن وزنه، از آن برای راندن بدن خود به جلو با یک باز شدن کامل استفاده کنید. با ایستادن در حالی که وزنه را بالای سر خود قرار می‌دهید، ریکاوری کنید."
Jerk Dip Squat,push,intermediate,compound,barbell,quadriceps,"abdominals, calves",olympic weightlifting,"This movement strengthens the dip portion of the jerk. Begin with the bar racked in the jerk position, with the shoulders forward to create a shelf and the bar lightly contacting the throat. The feet should be directly under the hips, with the feet turned out as is comfortable., Keeping the torso vertical, dip by flexing the knees, allowing them to travel forward and without moving the hips to the rear. The dip should not be excessive. Return the weight to the starting position by driving forcefully though the feet.",اسکات دیپ با حرکات تند و سریع,"این حرکت، بخش پایین آوردن وزنه در حرکت تند را تقویت می‌کند. با قرار دادن میله در حالت پرش شروع کنید، شانه‌ها را به جلو خم کنید تا حالت قفسه‌ای ایجاد شود و میله به آرامی با گلو تماس پیدا کند. پاها باید مستقیماً زیر باسن قرار گیرند و پاها تا جایی که راحت هستید به سمت بیرون بچرخند. بالاتنه را عمودی نگه دارید، با خم کردن زانوها، به آنها اجازه دهید به جلو حرکت کنند و باسن را به عقب نبرید. حرکت پایین آوردن وزنه نباید بیش از حد باشد. با فشار زیاد از میان پاها، وزنه را به حالت شروع برگردانید."
JM Press,push,beginner,compound,barbell,triceps,"chest, shoulders",strength,"Start the exercise the same way you would a close grip bench press. You will lie on a flat bench while holding a barbell at arms length (fully extended) with the elbows in. However, instead of having the arms perpendicular to the torso, make sure the bar is set in a direct line above the upper chest. This will be your starting position., Now beginning from a fully extended position lower the bar down as if performing a lying triceps extension. Inhale as you perform this movement. When you reach the half way point, let the bar roll back about one inch by moving the upper arms towards your legs until they are perpendicular to the torso. Tip: Keep the bend at the elbows constant as you bring the upper arms forward., As you exhale, press the bar back up by using the triceps to perform a close grip bench press., Now go back to the starting position and start over., Repeat for the recommended amount of repetitions.",مطبوعات JM,"تمرین را مانند پرس سینه با دست بسته شروع کنید. روی یک نیمکت صاف دراز خواهید کشید و هالتری را در امتداد بازوها (کاملاً کشیده) با آرنج‌های رو به داخل نگه می‌دارید. با این حال، به جای اینکه بازوها عمود بر تنه باشند، مطمئن شوید که میله در یک خط مستقیم بالای سینه قرار دارد. این موقعیت شروع شما خواهد بود. اکنون از حالت کاملاً کشیده، میله را پایین بیاورید، گویی در حال انجام یک حرکت کششی سه سر خوابیده هستید. هنگام انجام این حرکت نفس عمیق بکشید. وقتی به نیمه راه رسیدید، با حرکت دادن بازوها به سمت پاهایتان تا زمانی که عمود بر تنه باشند، اجازه دهید میله حدود یک اینچ به عقب برگردد. نکته: هنگام جلو آوردن بازوها، خمیدگی آرنج‌ها را ثابت نگه دارید. هنگام بازدم، با استفاده از عضلات سه سر، میله را به بالا فشار دهید تا یک پرس سینه با دست بسته انجام شود. اکنون به موقعیت شروع برگردید و دوباره شروع کنید. به تعداد تکرارهای توصیه شده تکرار کنید."
"Jogging, Treadmill",,beginner,,machine,quadriceps,"glutes, hamstrings",cardio,"To begin, step onto the treadmill and select the desired option from the menu. Most treadmills have a manual setting, or you can select a program to run. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise. Elevation can be adjusted to change the intensity of the workout., Treadmills offer convenience, cardiovascular benefits, and usually have less impact than jogging outside. A 150 lb person will burn almost 250 calories jogging for 30 minutes, compared to more than 450 calories running. Maintain proper posture as you jog, and only hold onto the handles when necessary, such as when dismounting or checking your heart rate.","دویدن، تردمیل","برای شروع، روی تردمیل بروید و گزینه مورد نظر را از منو انتخاب کنید. اکثر تردمیل‌ها تنظیمات دستی دارند، یا می‌توانید برنامه‌ای را برای دویدن انتخاب کنید. معمولاً می‌توانید سن و وزن خود را وارد کنید تا میزان کالری سوزانده شده در طول ورزش را تخمین بزنید. ارتفاع را می‌توان برای تغییر شدت تمرین تنظیم کرد. تردمیل‌ها راحتی، مزایای قلبی عروقی و معمولاً تأثیر کمتری نسبت به دویدن در فضای باز دارند. یک فرد 78 کیلوگرمی تقریباً 250 کالری را با دویدن به مدت 30 دقیقه می‌سوزاند، در مقایسه با بیش از 450 کالری که با دویدن می‌سوزاند. هنگام دویدن، وضعیت بدنی مناسبی را حفظ کنید و فقط در مواقع ضروری، مانند هنگام پیاده شدن یا بررسی ضربان قلب، دسته‌ها را بگیرید."
Keg Load,pull,intermediate,compound,other,lower back,"abdominals, biceps, calves, forearms, glutes, hamstrings, middle back, quadriceps, shoulders, traps",strongman,"To load kegs, place the desired number a distance from the loading platform, typically 30-50 feet., Begin by grabbing the close handle of the first keg, tilting it onto its side to grab the opposite edge of the bottom of the keg. Lift the keg up to your chest., The higher you can place the keg, the faster you should be able to move to the platform. Shouldering is usually not allowed. Be sure to keep a firm hold on the keg. Move as quickly as possible to the platform, and load it, extending through your hips, knees, and ankles to get it as high as possible., Return to the starting position to retrieve the next keg, and repeat until the event is completed.",بار بشکه,"برای بارگیری بشکه‌ها، بشکه مورد نظر را در فاصله‌ای از سکوی بارگیری، معمولاً 30 تا 50 فوت، قرار دهید. با گرفتن دسته نزدیک بشکه اول شروع کنید و آن را به پهلو کج کنید تا لبه مخالف کف بشکه را بگیرید. بشکه را تا سینه خود بالا ببرید. هر چه بشکه را بالاتر قرار دهید، سریع‌تر می‌توانید به سکو بروید. معمولاً شانه کردن مجاز نیست. حتماً بشکه را محکم نگه دارید. با بیشترین سرعت ممکن به سمت سکو بروید و آن را بارگیری کنید، آن را از طریق باسن، زانوها و مچ پا بکشید تا تا حد امکان بالا بیاید. برای برداشتن بشکه بعدی به موقعیت شروع برگردید و تا زمانی که رویداد کامل شود، تکرار کنید."
Kettlebell Arnold Press,push,intermediate,compound,kettlebells,shoulders,triceps,strength,"Clean a kettlebell to your shoulder. Clean the kettlebell to your shoulder by extending through the legs and hips as you raise the kettlebell towards your shoulder. The palm should be facing inward., Looking straight ahead, press the kettlebell out and overhead, rotating your wrist so that your palm faces forward at the top of the motion., Return the kettlebell to the starting position, with the palm facing in.",پرس آرنولد با کتل‌بل,"یک کتل‌بل را به شانه خود بچسبانید. با کشش پاها و باسن، کتل‌بل را به شانه خود بچسبانید و کتل‌بل را به سمت شانه خود بالا بیاورید. کف دست باید رو به داخل باشد. مستقیم به جلو نگاه کنید، کتل‌بل را به سمت بیرون و بالای سر فشار دهید، مچ دست خود را بچرخانید تا کف دست شما در بالای حرکت رو به جلو باشد. کتل‌بل را به حالت شروع برگردانید، در حالی که کف دست رو به داخل است."
Kettlebell Dead Clean,pull,intermediate,compound,kettlebells,hamstrings,"calves, glutes, lower back, quadriceps, traps",strength,"Place kettlebell between your feet. To get in the starting position, push your butt back and look straight ahead., Clean the kettlebell to your shoulder. Clean the kettlebell to your shoulders by extending through the legs and hips as you raise the kettlebell towards your shoulder. The wrist should rotate as you do so., Lower the kettlebell, keeping the hamstrings loaded by keeping your back straight and your butt out.",کتل‌بل کاملاً تمیز,"کتل‌بل را بین پاهایتان قرار دهید. برای قرار گرفتن در موقعیت شروع، باسن خود را به عقب فشار دهید و مستقیم به جلو نگاه کنید. کتل‌بل را تا شانه خود بالا بیاورید. با کشش پاها و باسن، کتل‌بل را تا شانه‌هایتان بالا بیاورید. مچ دست باید هنگام انجام این کار بچرخد. کتل‌بل را پایین بیاورید و با صاف نگه داشتن کمر و باسن، عضلات همسترینگ را تحت فشار نگه دارید."
Kettlebell Figure 8,pull,intermediate,,kettlebells,abdominals,"hamstrings, shoulders",strength,"Place one kettlebell between your legs and take a wider than shoulder width stance. Bend over by pushing your butt out and keeping your back flat., Pick up a kettlebell and pass it to your other hand between your legs. The receiving hand should reach from behind the legs. Go back and forth for several repetitions.",کتل‌بل فیگور ۸,"یک کتل‌بل را بین پاهای خود قرار دهید و به اندازه عرض شانه‌هایتان بازتر بایستید. با جلو دادن باسن و صاف نگه داشتن کمر، خم شوید. یک کتل‌بل بردارید و آن را به دست دیگر خود بین پاهایتان بدهید. دست گیرنده باید از پشت پاها باشد. این حرکت را چندین بار به جلو و عقب تکرار کنید."
Kettlebell Hang Clean,pull,intermediate,compound,kettlebells,hamstrings,"calves, glutes, lower back, shoulders, traps",strength,"Place kettlebell between your feet. To get in the starting position, push your butt back and look straight ahead., Clean kettlebell to your shoulder. Clean the kettlebell to your shoulders by extending through the legs and hips as you raise the kettlebell towards your shoulder. The wrist should rotate as you do so., Lower kettlebell to a hanging position between your legs while keeping the hamstrings loaded. Keep your head up at all times.",کتل‌بل را آویزان کنید (تمیز کنید),"کتل‌بل را بین پاهایتان قرار دهید. برای قرار گرفتن در موقعیت شروع، باسن خود را به عقب فشار دهید و مستقیم به جلو نگاه کنید. کتل‌بل را به شانه خود بچسبانید. با کشش پاها و باسن، کتل‌بل را به شانه‌هایتان بچسبانید و کتل‌بل را به سمت شانه خود بالا بیاورید. هنگام انجام این کار، مچ دست باید بچرخد. کتل‌بل را پایین بیاورید تا بین پاهایتان آویزان شود و در عین حال عضلات همسترینگ را درگیر نگه دارید. سر خود را همیشه بالا نگه دارید."
Kettlebell One-Legged Deadlift,pull,intermediate,compound,kettlebells,hamstrings,"glutes, lower back",strength,"Hold a kettlebell by the handle in one hand. Stand on one leg, on the same side that you hold the kettlebell., Keeping that knee slightly bent, perform a stiff legged deadlift by bending at the hip, extending your free leg behind you for balance., Continue lowering the kettlebell until you are parallel to the ground, and then return to the upright position.",ددلیفت تک پا با کتل‌بل,"یک کتل‌بل را از دسته در یک دست بگیرید. روی یک پا، در همان سمتی که کتل‌بل را گرفته‌اید، بایستید. زانوی خود را کمی خم نگه دارید، با خم شدن از لگن، یک ددلیفت با پاهای صاف انجام دهید و پای آزاد خود را برای حفظ تعادل به پشت خود بکشید. کتل‌بل را تا زمانی که موازی با زمین قرار بگیرید، پایین بیاورید و سپس به حالت ایستاده برگردید."
Kettlebell Pass Between The Legs,pull,intermediate,compound,kettlebells,abdominals,"glutes, hamstrings, shoulders",strength,"Place one kettlebell between your legs and take a comfortable stance. Bend over by pushing your butt out and keeping your back flat., Pick up a kettlebell and pass it to your other hand between your legs, in the fashion of a ""W"". Go back and forth for several repetitions.",پاس کتل‌بل از بین پاها,"یک کتل‌بل را بین پاهای خود قرار دهید و در حالت راحتی قرار بگیرید. با فشار دادن باسن و صاف نگه داشتن کمر، خم شوید. یک کتل‌بل را بردارید و آن را به دست دیگر خود بین پاهایتان، به شکل ""W"" بدهید. این حرکت را چندین بار به جلو و عقب تکرار کنید."
